,categories,categoriescountsemicolon
34224,adult;informationtech,1
34526,games;newsandmedia,1
34661,drugs;foodandrecipes,1
35381,sports;streamingmedia,1
35868,business;health;mediasharing,2
35941,business;economyandfinance;realestate,2
35954,realestate;shopping,1
36133,adult;mediasharing,1
36160,adult;entertainment;mediasharing,2
36640,newsandmedia;travel,1
37571,business;messageboardsandforums;vehicles,2
37605,socialnetworking;vehicles,1
38638,business;jobrelated;shopping,2
39245,contentserver;newsandmedia,1
39407,entertainment;games;sports,2
40023,blogsandpersonal;business;economyandfinance,2
40030,economyandfinance;education;newsandmedia,2
40750,games;sports,1
40948,adult;business;chatandmessaging,2
41563,blogsandpersonal;education;health,2
41825,blogsandpersonal;economyandfinance,1
42078,alcoholandtobacco;education;personals,2
42364,blogsandpersonal;entertainment;games,2
42984,business;entertainment;gambling,2
43129,entertainment;informationtech;messageboardsandforums,2
43175,business;education;entertainment;shopping,3
43538,adult;personals,1
43755,blogsandpersonal;business;shopping,2
44339,adult;entertainment;informationtech,2
44439,entertainment;mediasharing;sports,2
45169,games;messageboardsandforums,1
45529,business;religion,1
46432,shopping;travel;vehicles,2
47048,deceptive;entertainment;games,2
47124,translators,0
47639,chatandmessaging;entertainment;newsandmedia,2
47798,education;newsandmedia;sports,2
48717,adult;business;informationtech,2
48939,newsandmedia;streamingmedia,1
49505,personals;socialnetworking,1
49624,chatandmessaging;messageboardsandforums,1
50166,adult;games,1
50374,business;hacking;informationtech,2
51402,education;entertainment;health,2
51537,entertainment;newsandmedia;shopping,2
51622,advertising;informationtech,1
52014,messageboardsandforums;sports,1
52163,informationtech;sports,1
52202,drugs;newsandmedia,1
52934,business;education;realestate,2
53750,blogsandpersonal;health,1
54352,business;gambling;shopping,2
54573,entertainment;religion,1
55134,business;mediasharing;shopping,2
56417,blogsandpersonal;chatandmessaging,1
56943,education;entertainment;travel,2
57654,mediasharing;socialnetworking,1
58132,adult;informationtech;newsandmedia,2
58297,business;education;gambling,2
58703,education;streamingmedia,1
59090,business;education;searchenginesandportals,2
59134,business;foodandrecipes;travel,2
60271,entertainment;shopping;travel,2
60538,informationtech;searchenginesandportals,1
60773,education;informationtech;jobrelated,2
62664,education;illegalcontent,1
62971,illegalcontent;streamingmedia,1
63593,business;informationtech;parked,2
64372,business;games;travel,2
64942,education;gambling,1
65304,entertainment;socialnetworking,1
65734,entertainment;religion;streamingmedia,2
66029,jobrelated;socialnetworking,1
66675,adult;entertainment;newsandmedia,2
66785,newsandmedia;sports;streamingmedia,2
67382,mediasharing;streamingmedia,1
67758,alcoholandtobacco;business;travel,2
68274,entertainment;newsandmedia;searchenginesandportals,2
69213,searchenginesandportals;shopping,1
69424,business;education;socialnetworking,2
69688,business;gambling;sports,2
70870,blogsandpersonal;business;newsandmedia,2
72056,education;shopping;weapons,2
72880,games;streamingmedia,1
73034,entertainment;sports;streamingmedia,2
74368,mediasharing;religion,1
74439,education;vehicles,1
75209,business;games;shopping,2
75544,adult;sports,1
75860,entertainment;illegalcontent;streamingmedia,2
76438,entertainment;searchenginesandportals,1
77752,adult;advertising;business,2
78334,games;messageboardsandforums;newsandmedia,2
78684,advertising;business;education,2
79205,education;newsandmedia;shopping,2
79818,alcoholandtobacco;personals,1
80111,deceptive;foodandrecipes,1
80123,realestate;shopping;travel,2
80635,education;health;informationtech,2
80962,foodandrecipes;health;shopping,2
81182,adult;personals;socialnetworking,2
81322,business;virtualreality,1
81791,education;personals;shopping,2
82061,adult;illegalcontent,1
82286,drugs;education;shopping,2
83678,business;entertainment;weapons,2
84963,economyandfinance;education;shopping,2
86332,business;informationtech;travel,2
87534,education;games;messageboardsandforums,2
88063,blogsandpersonal;messageboardsandforums,1
88261,entertainment;gambling;games,2
88430,socialnetworking;streamingmedia,1
90785,education;proxyandfilteravoidance,1
91753,blogsandpersonal;business;socialnetworking,2
92052,alcoholandtobacco;drugs;education,2
92284,games;sports;vehicles,2
93687,messageboardsandforums;newsandmedia,1
93966,business;economyandfinance;streamingmedia,2
94714,education;informationtech;travel,2
94724,informationtech;travel,1
95133,adult;newsandmedia,1
95404,games;socialnetworking,1
96398,messageboardsandforums;shopping;weapons,2
97782,entertainment;newsandmedia;vehicles,2
100047,adult;mediasharing;socialnetworking,2
100257,blogsandpersonal;education;religion,2
102033,messageboardsandforums;travel,1
102827,chatandmessaging;mediasharing,1
104788,gambling;personals,1
104865,education;shopping;sports,2
104950,business;economyandfinance;gambling,2
105764,gambling;travel,1
106129,economyandfinance;entertainment;shopping,2
106516,blogsandpersonal;entertainment;shopping,2
107709,entertainment;messageboardsandforums;shopping,2
